mode,avg_cycles,avg_mean,avg_pair,avg_triad,avg_deep,avg_very_deep,avg_ultra_deep,avg_rollbacks,avg_waste,avg_switches,avg_reopen,avg_runtime,score
fact_only,404.62,0.0019313157999239147,0.0027969410495876433,0.0028803841022822583,8.0,8.0,4.58,0.0,0.0,0.0,0.0,0.11864493199886056,23.548937143864105
hybrid,650.0,0.005656492790012985,0.002241300019166284,0.002546390212254215,7.94,2.5,0.0,0.0,0.0,159.58,335.56,0.2656365459994413,2.2988160792840224
topology_only,650.0,0.005676095835437001,0.0020347183259148086,0.0024397525516862365,7.94,2.14,0.0,0.4,0.0036776668429773797,158.58,367.84,0.2659727760002715,1.5929897457273017
