mode,cycles,mean_error,max_error,pair_rms,triad_rms,viable,mid,ultra,singular,deep,very_deep,ultra_deep,access,spread,rollbacks,waste,reopen_events,phase_switches,runtime,seed,trial
fact_only,398,0.0018158117108224435,0.002557508333919619,0.0024242389693383748,0.002986726161821877,8,8,8,8,8,8,4,0.6438549459027787,0.08789566271754812,0,0.0,0,0,0.11603809999360237,20260609,1
fact_only,451,0.0015329556498600563,0.0028389063050272808,0.0023198360416706045,0.0029987176384449338,8,8,8,8,8,8,7,0.6425365605487015,0.08747158555280148,0,0.0,0,0,0.13483609999821056,20260610,2
fact_only,415,0.001801810023806833,0.0032545042213466043,0.0029812262264581816,0.002890051316621098,8,8,8,8,8,8,5,0.6428162401708557,0.08700757629162818,0,0.0,0,0,0.11988929999643005,20260611,3
fact_only,426,0.001799823791825729,0.002736608900334436,0.0027251344088309332,0.0029804089341833413,8,8,8,8,8,8,6,0.6422490061135583,0.08764928794641867,0,0.0,0,0,0.1198417999985395,20260612,4
fact_only,422,0.001699667584010006,0.0033888372687511446,0.0024400972718822515,0.0029737343084781866,8,8,8,8,8,8,6,0.6429977675848904,0.0872301803158802,0,0.0,0,0,0.12470780000148807,20260613,5
fact_only,392,0.0023322797623639892,0.0037590358317541946,0.002989787003332225,0.002977851494428958,8,8,8,8,8,8,3,0.6436723078203163,0.08776580633962751,0,0.0,0,0,0.1142581999883987,20260614,6
fact_only,402,0.0018458665382974585,0.0029314086920052477,0.002937947362767029,0.002987083979995463,8,8,8,8,8,8,6,0.6418208425779914,0.08743064464111762,0,0.0,0,0,0.11313009999867063,20260615,7
fact_only,413,0.001692022163640505,0.0023564130524822416,0.0025532412065611665,0.0029832724031024103,8,8,8,8,8,8,7,0.6429212848082659,0.08747616297252371,0,0.0,0,0,0.11449370000627823,20260616,8
fact_only,431,0.0016957877120583075,0.002451011490330246,0.0027138832899572442,0.002976548836474401,8,8,8,8,8,8,5,0.6430179971042764,0.08742625687237483,0,0.0,0,0,0.12706440000329167,20260617,9
fact_only,425,0.0016187674630764462,0.0032058155621337804,0.002699251732606072,0.002959611109552688,8,8,8,8,8,8,5,0.6422471006321362,0.08738606761701119,0,0.0,0,0,0.12424750000354834,20260618,10
fact_only,388,0.002184631509359237,0.0031393277935584853,0.002987327005927789,0.002721401635333365,8,8,8,8,8,8,3,0.6429149470583205,0.08737526770910738,0,0.0,0,0,0.10421440000936855,20260619,11
fact_only,353,0.0027918906761131143,0.0035140194436286995,0.00270502069125113,0.0029966208150274225,8,8,8,8,8,8,1,0.6430815389254628,0.08857064339671945,0,0.0,0,0,0.09757050000189338,20260620,12
fact_only,403,0.0019574413349905386,0.003324328391172864,0.002985911127574531,0.00272533186943147,8,8,8,8,8,8,4,0.642276274847686,0.08737371368376651,0,0.0,0,0,0.11335319999489002,20260621,13
fact_only,408,0.0014609179751007004,0.0033369240544842806,0.0029971486920187325,0.002975370909088888,8,8,8,8,8,8,7,0.6424734437855703,0.08704844793284326,0,0.0,0,0,0.12172029999783263,20260622,14
fact_only,429,0.0015075648761755213,0.0026960139339918953,0.0027455537344003365,0.002994725459734953,8,8,8,8,8,8,6,0.6423666876402812,0.087284012573929,0,0.0,0,0,0.12166150000120979,20260623,15
fact_only,388,0.0022733366572735437,0.0031836111114640227,0.002861534081496938,0.0029648623378141065,8,8,8,8,8,8,2,0.6430216483103746,0.08769899402080734,0,0.0,0,0,0.10791979999339674,20260624,16
fact_only,402,0.0020969241600010645,0.002837542667458983,0.002975453119079331,0.0029270315655670637,8,8,8,8,8,8,3,0.6428643591803773,0.08805064626234467,0,0.0,0,0,0.11176960000011604,20260625,17
fact_only,408,0.0020383610804657988,0.0028989274773710653,0.0025662411234324742,0.0029931160493478523,8,8,8,8,8,8,3,0.6424371694470343,0.08754862403571965,0,0.0,0,0,0.11744680000992958,20260626,18
fact_only,461,0.0016844358246042297,0.00227269035502213,0.002228498949269486,0.002997255889430701,8,8,8,8,8,8,6,0.6424935744017206,0.08796190538756538,0,0.0,0,0,0.128935900007491,20260627,19
fact_only,377,0.0017761780719900795,0.0023076605824844973,0.0024064693451979645,0.002963273324221971,8,8,8,8,8,8,6,0.6428905330666321,0.08810198205039237,0,0.0,0,0,0.10543419999885373,20260628,20
fact_only,389,0.0018961444500146876,0.0032371330586335634,0.0029835201568176296,0.0020445233114864962,8,8,8,8,8,8,6,0.643137026709337,0.08762623741880511,0,0.0,0,0,0.10937249999551568,20260629,21
fact_only,430,0.0018601953592464395,0.003039183878929947,0.0029772927572021307,0.0022493777707201274,8,8,8,8,8,8,5,0.6429365122379402,0.0876360322418195,0,0.0,0,0,0.12104640000325162,20260630,22
fact_only,388,0.002185981219223789,0.00390560209002698,0.0029861205184099097,0.0026579893479507966,8,8,8,8,8,8,5,0.6429068037554886,0.08716629424874561,0,0.0,0,0,0.11642960000608582,20260631,23
fact_only,424,0.0015292612444513442,0.002753644541135523,0.002992892466566076,0.0027077271530265,8,8,8,8,8,8,7,0.6420680881307014,0.08767889839365313,0,0.0,0,0,0.12506539998867083,20260632,24
fact_only,425,0.0014073397479430396,0.0031142275663037355,0.0027936373863260105,0.0029920521895702595,8,8,8,8,8,8,6,0.6433428953226774,0.08799824887444292,0,0.0,0,0,0.11861909998697229,20260633,25
fact_only,412,0.0019227002995460306,0.0029537632791523448,0.0027633220269048524,0.002990060335302409,8,8,8,8,8,8,5,0.6426902465784858,0.08720610698257997,0,0.0,0,0,0.12211919999390375,20260634,26
fact_only,429,0.0019337097754842107,0.0032445003751579164,0.00246091507252246,0.0029782119298444347,8,8,8,8,8,8,4,0.6422180437446998,0.08738038032493621,0,0.0,0,0,0.12834579999616835,20260635,27
fact_only,394,0.0020731796652265246,0.0029391154908304617,0.0028631874161790215,0.0029884544157093703,8,8,8,8,8,8,3,0.6432027481847225,0.08697156077513295,0,0.0,0,0,0.11750190000748262,20260636,28
fact_only,354,0.0026237221903843673,0.004121737504139898,0.002920944618786236,0.0029975471062946867,8,8,8,8,8,8,1,0.6442469261023043,0.08765553958176604,0,0.0,0,0,0.10803669999586418,20260637,29
fact_only,429,0.001955877084971645,0.0026925183514873783,0.0029936368309256252,0.0024994631564801218,8,8,8,8,8,8,5,0.6430169702910535,0.0878234375395337,0,0.0,0,0,0.12450359998911154,20260638,30
fact_only,399,0.0021273771585954776,0.003085328656971972,0.0028660413952723233,0.0029768726650009074,8,8,8,8,8,8,3,0.6420747074679073,0.08795658821919128,0,0.0,0,0,0.13874720000603702,20260639,31
fact_only,431,0.0018411140950057234,0.003102785113817913,0.0029779408420423014,0.002751439002671024,8,8,8,8,8,8,6,0.6430352267101591,0.08771471439581657,0,0.0,0,0,0.1251239999983227,20260640,32
fact_only,370,0.002104897053260468,0.0044122872885718105,0.0026621206884800716,0.00299100818441276,8,8,8,8,8,8,6,0.6420125443767108,0.0876463053913437,0,0.0,0,0,0.10334660000808071,20260641,33
fact_only,407,0.0018244639600844788,0.0027120834880977798,0.0029762127784072503,0.002971077883417386,8,8,8,8,8,8,5,0.6424348289190869,0.08687721159293298,0,0.0,0,0,0.11674099999072496,20260642,34
